StrPalindrome,=3/4
IsSuffix,=17/24
UglyNum,=1/4
BinarySearch,=0/7
PowerOfThree,=11/12
DominantIndex,=7/21
IsOneBitCharacter,=9/26
ChangeCase,=16/23
FizzBuzz,=8/8
ThreeConsecutiveOdds,=0/11
CompareArray,=8/10
CalcDuration,=10/19
CanConstruct,=0/10
IsPrefix,=11/12
Calculator,=5/16
NumberOfCuts,=7/7
LeapYear,=3/3
MyPower,=1/6
Fibonacci,=7/13
PlusOne,=11/17
MulLoop,=4/5
RepeatedChar,=0/11
CopyArray,=9/9
JewelsInStones,=11/19
IsSubsequence,=9/10
ReverseString,=7/14
LargestPerimeter,=0/28
FindFirstZero,=9/9
IsPalindrome,=10/11
Perimeter,=5/5
Absolute,=10/10
AddLoop,=11/11
IsDescending,=7/8
Biggest,=7/7
FindClosestNum,=13/27
Merge,=8/12
SmallestEvenMul,=10/10
MoveZeroes,=11/14
RotateArray,=2/9
PowerOfTwo,=5/6
LinearSearch,=5/6
CheckABeforeB,=11/18
IsAscending,=7/7
PowerOfFour,=4/4
Inverse,=5/5
PrimeCheck,=2/6
IsCommonFactor,=8/8
ConvertToTitle,=6/12
DigitalRoot,=7/8
CanWinNim,=3/3
LCM,=0/1
ComputeArea,=2/3
Smallest,=11/13
DigitCount,=0/5
BubbleSort,=1/3
OddEven,=2/2
SelfDeviding,=2/3
ConvertTemperature,=3/3
IsAllUnique,=2/4
CalcComplement,=1/4
ContainsDuplicate,=0/11
MySqrt,=1/1
UniqueChar,=0/8
AddByLoop,=3/3
DistOfArrays,=1/2
SetZero,=5/5
HasThreeFactors,=0/1
Swap,=1/1
IsMonotonic,=2/2
FindInArray,=0/1
KthLargest,=0/1
PerfectSquare,=0/1
GCD,=0/1
